,iyear,imonth,iday,provstate,attacktype1_txt,targtype1_txt,weaptype1_txt,nwound,nkill
21699,1984,4,15,Punjab,Bombing/Explosion,Transportation,Firearms,0.0,0.0
21700,1984,4,15,Punjab,Bombing/Explosion,Transportation,Firearms,0.0,0.0
21701,1984,4,15,Punjab,Bombing/Explosion,Transportation,Firearms,0.0,0.0
21702,1984,4,15,Punjab,Bombing/Explosion,Transportation,Firearms,0.0,0.0
21703,1984,4,15,Punjab,Bombing/Explosion,Transportation,Firearms,0.0,0.0
21704,1984,4,15,Punjab,Bombing/Explosion,Transportation,Firearms,0.0,0.0
21705,1984,4,15,Punjab,Bombing/Explosion,Transportation,Firearms,0.0,0.0
21706,1984,4,15,Punjab,Bombing/Explosion,Transportation,Firearms,0.0,0.0
21707,1984,4,15,Punjab,Bombing/Explosion,Transportation,Firearms,0.0,0.0
21708,1984,4,15,Punjab,Bombing/Explosion,Transportation,Firearms,0.0,0.0
21709,1984,4,15,Punjab,Bombing/Explosion,Transportation,Firearms,0.0,0.0
21710,1984,4,15,Punjab,Bombing/Explosion,Transportation,Firearms,0.0,0.0
21711,1984,4,15,Punjab,Bombing/Explosion,Transportation,Firearms,0.0,0.0
21712,1984,4,15,Punjab,Bombing/Explosion,Transportation,Firearms,0.0,0.0
21713,1984,4,15,Punjab,Bombing/Explosion,Transportation,Firearms,0.0,0.0
21714,1984,4,15,Punjab,Bombing/Explosion,Transportation,Firearms,0.0,0.0
21715,1984,4,15,Punjab,Bombing/Explosion,Transportation,Firearms,0.0,0.0
21716,1984,4,15,Punjab,Bombing/Explosion,Transportation,Firearms,0.0,0.0
21717,1984,4,15,Punjab,Bombing/Explosion,Transportation,Firearms,0.0,0.0
21718,1984,4,15,Punjab,Bombing/Explosion,Transportation,Firearms,0.0,0.0
21719,1984,4,15,Punjab,Bombing/Explosion,Transportation,Firearms,0.0,0.0
21720,1984,4,15,Punjab,Bombing/Explosion,Transportation,Firearms,0.0,0.0
21721,1984,4,15,Punjab,Facility/Infrastructure Attack,Government (General),Incendiary,0.0,0.0
21729,1984,4,16,Punjab,Assassination,Terrorists/Non-State Militia,Firearms,0.0,1.0
21730,1984,4,16,Punjab,Assassination,Violent Political Party,Unknown,0.0,1.0
21731,1984,4,16,Punjab,Assassination,Religious Figures/Institutions,Firearms,0.0,1.0
21742,1984,4,17,Jammu and Kashmir,Assassination,Private Citizens & Property,Unknown,0.0,2.0
21745,1984,4,17,Chandigarh,Assassination,Private Citizens & Property,Explosives,7.0,1.0
21753,1984,4,19,Punjab,Bombing/Explosion,Transportation,Explosives,,
21756,1984,4,19,Haryana,Assassination,Police,Firearms,0.0,2.0
21778,1984,4,21,Unknown,Assassination,Terrorists/Non-State Militia,Unknown,0.0,1.0
21781,1984,4,21,Unknown,Facility/Infrastructure Attack,Transportation,Incendiary,0.0,0.0
21788,1984,4,22,Punjab,Assassination,Religious Figures/Institutions,Firearms,3.0,1.0
21795,1984,4,22,Himachal Pradesh,Armed Assault,Business,Firearms,10.0,3.0
21810,1984,4,23,Punjab,Assassination,Military,Melee,0.0,1.0
21816,1984,4,23,Punjab,Unknown,Police,Unknown,8.0,6.0
21822,1984,4,24,Punjab,Unknown,Police,Unknown,,2.0
21823,1984,4,24,Punjab,Assassination,Religious Figures/Institutions,Melee,0.0,1.0
21846,1984,4,26,Punjab,Assassination,Business,Firearms,0.0,1.0
21847,1984,4,26,Punjab,Assassination,Business,Firearms,0.0,1.0
21879,1984,4,30,Punjab,Assassination,Police,Firearms,2.0,2.0
21898,1984,5,1,Tripura,Assassination,Police,Firearms,0.0,3.0
21909,1984,5,2,Punjab,Assassination,Government (General),Firearms,1.0,0.0
21937,1984,5,5,Haryana,Armed Assault,Transportation,Firearms,0.0,0.0
21942,1984,5,6,Punjab,Bombing/Explosion,Police,Explosives,4.0,1.0
21945,1984,5,7,Punjab,Assassination,Government (General),Unknown,1.0,1.0
21976,1984,5,10,Punjab,Assassination,Religious Figures/Institutions,Firearms,0.0,1.0
22006,1984,5,12,Punjab,Assassination,Journalists & Media,Firearms,0.0,1.0
22020,1984,5,13,Punjab,Unknown,Transportation,Unknown,5.0,1.0
22022,1984,5,14,Unknown,Bombing/Explosion,Business,Explosives,0.0,3.0
22030,1984,5,14,Punjab,Assassination,Religious Figures/Institutions,Firearms,0.0,3.0
22091,1984,5,18,Manipur,Bombing/Explosion,Business,Unknown,0.0,0.0
22092,1984,5,18,Punjab,Assassination,Religious Figures/Institutions,Firearms,0.0,1.0
22095,1984,5,18,Punjab,Facility/Infrastructure Attack,Private Citizens & Property,Incendiary,0.0,0.0
22106,1984,5,20,Jammu and Kashmir,Bombing/Explosion,Transportation,Explosives,0.0,1.0
22108,1984,5,20,Punjab,Assassination,Government (General),Firearms,1.0,0.0
22122,1984,5,21,Punjab,Assassination,Police,Firearms,0.0,1.0
22123,1984,5,21,Punjab,Assassination,Religious Figures/Institutions,Unknown,0.0,1.0
22124,1984,5,21,Punjab,Hijacking,Transportation,Unknown,10.0,4.0
22127,1984,5,22,Punjab,Bombing/Explosion,Police,Explosives,2.0,0.0
22139,1984,5,23,Punjab,Armed Assault,Private Citizens & Property,Firearms,4.0,3.0
22153,1984,5,25,Punjab,Assassination,Government (General),Firearms,0.0,1.0
22163,1984,5,29,Punjab,Assassination,Military,"Vehicle (not to include vehicle-borne explosives, i.e., car or truck bombs)",0.0,2.0
22167,1984,5,29,Punjab,Facility/Infrastructure Attack,Government (General),Incendiary,0.0,0.0
22172,1984,5,29,Punjab,Bombing/Explosion,Transportation,Explosives,0.0,0.0
22176,1984,5,30,Punjab,Assassination,Government (General),Firearms,0.0,2.0
22177,1984,5,30,Punjab,Assassination,Police,Firearms,0.0,2.0
22180,1984,5,30,Punjab,Armed Assault,Private Citizens & Property,Firearms,2.0,0.0
22184,1984,6,1,Punjab,Armed Assault,Religious Figures/Institutions,Firearms,8.0,4.0
22188,1984,6,2,Punjab,Assassination,Private Citizens & Property,Unknown,0.0,3.0
22189,1984,6,2,Punjab,Assassination,Government (General),Unknown,0.0,1.0
22190,1984,6,2,Punjab,Assassination,Private Citizens & Property,Firearms,0.0,1.0
22191,1984,6,2,Punjab,Assassination,Private Citizens & Property,Firearms,0.0,1.0
22285,1984,6,15,Assam,Bombing/Explosion,Business,Explosives,21.0,1.0
22288,1984,6,15,Punjab,Assassination,Religious Figures/Institutions,Melee,0.0,1.0
22300,1984,6,16,Punjab,Assassination,Government (General),Firearms,0.0,1.0
22357,1984,6,21,Haryana,Bombing/Explosion,Business,Unknown,3.0,0.0
22384,1984,6,24,Punjab,Bombing/Explosion,Private Citizens & Property,Explosives,2.0,1.0
22385,1984,6,24,Assam,Assassination,Police,Unknown,3.0,0.0
22386,1984,6,24,Assam,Bombing/Explosion,Transportation,Explosives,0.0,0.0
22389,1984,6,24,Punjab,Assassination,Religious Figures/Institutions,Melee,0.0,1.0
22390,1984,6,24,Punjab,Assassination,Private Citizens & Property,Firearms,0.0,3.0
22418,1984,6,27,Assam,Bombing/Explosion,Private Citizens & Property,Explosives,21.0,
22477,1984,7,5,Unknown,Hijacking,Airports & Aircraft,Firearms,2.0,0.0
22684,1984,7,21,Unknown,Facility/Infrastructure Attack,Unknown,Sabotage Equipment,0.0,0.0
22685,1984,7,21,Punjab,Unknown,Police,Unknown,0.0,1.0
22788,1984,8,2,Tamil Nadu,Bombing/Explosion,Airports & Aircraft,Explosives,19.0,31.0
22844,1984,8,8,Punjab,Assassination,Private Citizens & Property,Firearms,0.0,1.0
22870,1984,8,10,Karnataka,Hijacking,Airports & Aircraft,Explosives,0.0,0.0
23009,1984,8,24,Unknown,Hijacking,Airports & Aircraft,Melee,0.0,0.0
23135,1984,9,0,Unknown,Armed Assault,Business,Melee,45.0,
23204,1984,9,5,Tripura,Armed Assault,Transportation,Melee,25.0,3.0
23255,1984,9,12,Punjab,Bombing/Explosion,Business,Explosives,15.0,2.0
23257,1984,9,12,Punjab,Hijacking,Transportation,Firearms,0.0,14.0
23437,1984,10,4,Punjab,Bombing/Explosion,Private Citizens & Property,Explosives,3.0,0.0
23569,1984,10,25,Delhi,Bombing/Explosion,Business,Explosives,18.0,0.0
23629,1984,10,31,Delhi,Assassination,Government (General),Firearms,0.0,1.0
23858,1984,11,27,Maharashtra,Assassination,Government (General),Firearms,0.0,1.0
23921,1984,12,8,Manipur,Assassination,Government (General),Unknown,0.0,0.0
23922,1984,12,8,Unknown,Bombing/Explosion,Police,Explosives,2.0,1.0
24318,1985,2,3,Punjab,Unknown,Religious Figures/Institutions,Unknown,0.0,6.0
24325,1985,2,5,Tripura,Assassination,Private Citizens & Property,Unknown,1.0,2.0
24332,1985,2,5,Unknown,Unknown,Private Citizens & Property,Unknown,0.0,0.0
24333,1985,2,5,Unknown,Assassination,Government (General),Firearms,,
24631,1985,3,24,Chandigarh,Assassination,Government (General),Unknown,0.0,1.0
24638,1985,3,24,Chandigarh,Assassination,Government (General),Unknown,0.0,1.0
24735,1985,4,8,Chandigarh,Assassination,Police,Unknown,0.0,1.0
24809,1985,4,19,Punjab,Assassination,Government (General),Firearms,0.0,1.0
24863,1985,4,30,Chandigarh,Bombing/Explosion,Religious Figures/Institutions,Explosives,0.0,0.0
24945,1985,5,6,Punjab,Assassination,Government (General),Unknown,0.0,2.0
24952,1985,5,7,Punjab,Assassination,Police,Unknown,0.0,1.0
25034,1985,5,10,Uttar Pradesh,Bombing/Explosion,Transportation,Explosives,6.0,2.0
25035,1985,5,10,Haryana,Bombing/Explosion,Transportation,Explosives,16.0,3.0
25036,1985,5,10,Chandigarh,Bombing/Explosion,Transportation,Explosives,,
25044,1985,5,11,Delhi,Bombing/Explosion,Private Citizens & Property,Explosives,0.0,5.0
25045,1985,5,11,Delhi,Bombing/Explosion,Government (General),Explosives,0.0,0.0
25152,1985,5,16,Unknown,Bombing/Explosion,Transportation,Explosives,0.0,0.0
25319,1985,6,4,Punjab,Bombing/Explosion,Government (General),Explosives,5.0,0.0
25320,1985,6,4,Punjab,Bombing/Explosion,Transportation,Explosives,0.0,0.0
25321,1985,6,4,Punjab,Unknown,Private Citizens & Property,Unknown,0.0,0.0
25503,1985,6,20,Uttar Pradesh,Assassination,Government (General),Unknown,0.0,1.0
25524,1985,6,22,Gujarat,Bombing/Explosion,Unknown,Explosives,10.0,0.0
25574,1985,6,28,Manipur,Bombing/Explosion,Transportation,Explosives,0.0,0.0
25575,1985,6,28,Manipur,Bombing/Explosion,Transportation,Explosives,0.0,0.0
25842,1985,7,30,Punjab,Armed Assault,Religious Figures/Institutions,Melee,12.0,0.0
26026,1985,8,17,Assam,Bombing/Explosion,Private Citizens & Property,Explosives,0.0,3.0
26067,1985,8,20,Uttar Pradesh,Assassination,Government (General),Firearms,3.0,2.0
26140,1985,9,4,Delhi,Assassination,Government (General),Unknown,0.0,2.0
26157,1985,9,8,Punjab,Assassination,Government (General),Firearms,0.0,1.0
26259,1985,9,22,Delhi,Bombing/Explosion,Private Citizens & Property,Explosives,0.0,3.0
26263,1985,9,23,Punjab,Bombing/Explosion,Private Citizens & Property,Explosives,0.0,3.0
26461,1985,10,21,Punjab,Assassination,Government (General),Firearms,0.0,2.0
26507,1985,10,29,Punjab,Assassination,Government (General),Firearms,0.0,1.0
26608,1985,11,8,Punjab,Assassination,Private Citizens & Property,Unknown,2.0,1.0
26609,1985,11,8,Unknown,Assassination,Police,Unknown,1.0,1.0
26629,1985,11,11,Punjab,Assassination,Police,Firearms,0.0,1.0
26688,1985,11,22,Punjab,Bombing/Explosion,Transportation,Explosives,22.0,2.0
26743,1985,11,27,Punjab,Assassination,Religious Figures/Institutions,Firearms,1.0,1.0
26748,1985,11,28,Punjab,Assassination,Police,Firearms,0.0,2.0
27029,1986,1,6,Punjab,Assassination,Business,Unknown,0.0,1.0
27030,1986,1,6,Punjab,Armed Assault,Government (Diplomatic),Melee,0.0,1.0
27031,1986,1,6,Punjab,Assassination,Unknown,Unknown,2.0,2.0
27069,1986,1,11,Punjab,Assassination,NGO,Unknown,0.0,1.0
27202,1986,1,29,Tamil Nadu,Bombing/Explosion,Transportation,Explosives,0.0,0.0
27265,1986,2,6,Punjab,Assassination,Business,Firearms,0.0,1.0
27276,1986,2,8,Punjab,Bombing/Explosion,Business,Explosives,0.0,0.0
27279,1986,2,8,Punjab,Armed Assault,Business,Firearms,1.0,2.0
27332,1986,2,17,Punjab,Assassination,Government (General),Unknown,0.0,1.0
27340,1986,2,19,Punjab,Unknown,Private Citizens & Property,Unknown,0.0,6.0
27434,1986,3,6,Punjab,Unknown,Private Citizens & Property,Unknown,14.0,7.0
27435,1986,3,6,Punjab,Armed Assault,Private Citizens & Property,Unknown,3.0,6.0
27518,1986,3,15,Punjab,Armed Assault,Private Citizens & Property,Firearms,2.0,2.0
27569,1986,3,19,Punjab,Assassination,Police,Firearms,0.0,1.0
27577,1986,3,20,Delhi,Assassination,Private Citizens & Property,Explosives,0.0,0.0
27597,1986,3,24,Punjab,Armed Assault,Private Citizens & Property,Firearms,1.0,4.0
27615,1986,3,25,Punjab,Assassination,Private Citizens & Property,Unknown,0.0,2.0
27642,1986,3,26,Punjab,Armed Assault,Private Citizens & Property,Melee,29.0,7.0
27643,1986,3,26,Punjab,Armed Assault,Private Citizens & Property,Firearms,0.0,8.0
27648,1986,3,26,Andhra Pradesh,Assassination,Government (General),Unknown,0.0,0.0
27682,1986,3,27,Unknown,Assassination,Government (General),Firearms,0.0,2.0
